Specimen	Sex	Chinese Ancestry	kg	C-R curved	R humeral max	R femoral max	R Radial max	R tibial max	Note						
29999	F	0.25	9.3	507.1	153.17	181.65	155.01	166.04							
30797	F	0.125	8.49	531.6	156.21	179.04	154.7	166.48							
31603	F	0.75	7.35	514.4	152.38	174.42	139.6	155.81							
31692	F	0.75	7.7	531.7	147.33	165.06	144.37	152.57							
32200	F	0.13	8.5	531.6	150.25	173.47	148.2	156.72							
32208	M	0.25	14.8	547.5	155.13	181.25	150.23	168.25							
32277	F	0.25	7	503	149.23	168.87	145.73	159.18							
32397	M	0.625	14.85	589.8	170.3	202.44	169.9	182.37							
32977	M	0.5	17.3	575.8	165.17	191.28	157.06	175.48							
33422	F	0.25	8.87	537.7	158.5	172.22	145.8	163.02							
33428	F	0.375	11.44	549.8	145.97	172.44	140.45	156.52	Left tibia used						
33792	F	0.13	10.8	529	158.37	182.37	154.6	166.7							
34993	F	0.125	10.09	495.5	148.57	173.56	145.88	162.99							
35560	F	0.125	10.75	502.4	147.95	170.72	140.04	159.75							
35602	F	0.25	5.93	489.9	139.83	156.34	134.23	147.14							
35761	F	0.5	10.93	498.1	144.85	171.02	148.42	156.68							
35837	M	0	11.53	532.9	169.89	196.99	162.38	182.64							
35840	F	0.125	9.45	516.7	153.57	176.92	151.74	169.49							
36384	F	0.25	6.6	520.8	149.04	172.58	149.33	161.58							
36496	M	0.125	16.02	553.4	168	196.36	160.74	172.88							
36720	F	0.375	9.42	520	145.56	166.87	143.44	156.06							
36819	F	0.375	10.87	516.2	144.01	165.8	138.23	155.55							
37085	F	0.125	11.15	523.4	152.12	171.25	142.72	157.18							
37163	F	0.625	12.58	503.9	148.52	166.54	141.48	149.66							
37166	F	0.125	8.42	510.9	147.72	169.64	137.6	155.56							
37177	F	0	9.53	507.7	143.62	161.14	140.69	151.71							
37214	F	0.125	9.9	509	137.07	163.4	133.83	147.06							
37266	F	0.125	9.66	519.9	151.08	177.09	145.96	166.1							
37345	M	0.25	13.26	551.7	164.69	194.52	159.19	173.19							
37410	F	0.875	7.12	481.1	138.58	152.24	131.1	140.13							
37414	F	0.5	6.77	476	143.54	166.67	133.61	152.15							
37447	F	0.125	11.78	526.8	146.07	174.66	141.42	157.52							
37452	M	0.25	18.6	553.3	157.54	189.83	159.68	177.13	Left radius used						
37477	F	1	5.3	503.1	134.94	151.99	134.2	135.1							
37538	F	0.125	11.34	527.7	150.07	173.84	139.22	157.12							
37585	F	0.625	7.57	487.3	137.98	158.68	127.91	144.15							
37599	F	0.375	5.53	485.5	142.54	162.16	138.43	148.05							
37652	F	0.125	15.83	549.3	155.99	180.92	152.56	166.84							
37687	F	0.125	7.38	518.7	152.61	172.69	141.44	164.07							
37748	F	0.125	8.9	511.2	154.03	179.34	150.57	166.58							
37861	F	0.125	7.2	487.4	143.11	169.28	135.74	147.12							
37896	F	0.125	9.49	510.6	139.5	163.26	132.66	146.32							
38037	F	0.125	10.83	503.6	139.92	166.34	135.53	151.29							
38120	F	0.375	7.43	524	147.49	173.09	145.08	159.37							
38219	M	0.5	14.95	532.4	161.8	188.68	157.74	172.07							
38252	F	0.125	11.18	502.8	142.98	169.62	136.57	153.71							
38328	F	0.125	15.21	528	158.31	180.45	149.33	164.7							
38341	F	0.125	7.66	520.7	148.43	164.26	132.85	149.71							
38465	F	0.25	9.5	507.9	151.77	170.23	145.28	156.87							
38752	M	0.125	11.84	554.6	175.45	197.23	169.17	183.21							
38982	M	0.25	8.96	511	158.68	183.21	156.25	164.98							
39026	F	0.125	7.26	478.8	131.3	161.74	137.53	144.96							
39242	F	0.125	7.39	492.1	143.26	162.35	143.38	154.7							
39374	F	0.25	7.91	492.9	139.01	165.11	133.06	151.71							
39481	F	0.25	9.41	505.9	154.43	180.74	152.4	171.21							
39512	M	0.125	9.58	514.1	161.76	196.68	153.31	172.58							
39612	F	0.38	7	494	146.62	172.76	140.38	157.14							
39650	M	0.25	11.45	529.2	161.86	185.8	154.05	170.04							
39847	F	0.375	7.36	514.3	145.73	171.81	148.4	163.97							
39971	M	0.125	11.9	540.2	168.63	194.63	160.15	175.26							
40000	M	0.125	11.21	540.4	162.43	185.62	158.9	171.41							
40021	F	0.25	7.33	474.3	145.26	167.12	141.79	150.52							
40099	M	0.25	11.69	512.3	166.83	198.65	167.22	178.11							
40109	F	0.25	6.39	506.7	147.8	169.82	145.49	158.32							
40202	M	0.375	10.88	517.4	160.83	189.19	157.73	167.48							
40243	F	0.25	5.18	479.6	144.34	169.47	140.69	154.88							
40446	M	0.125	10.93	543.7	157.49	186.88	147.25	167.61							
